task_name,input_file_name,city
Lado Sarai,lado_sarai.mp3,DELHI
Madangir,madangir.mp3,DELHI
Dwarka Sector 4,dwarka_sector_4.mp3,DELHI
Bhajanpura,bhajanpura.mp3,DELHI
Rohini Sector 2,rohini_sector_2.mp3,DELHI
Gujranwala Town,gujranwala_town.mp3,DELHI
Mehrauli,mehrauli.mp3,DELHI
Gopalpur Village,gopalpur_village.mp3,DELHI
Nilothi,nilothi.mp3,DELHI
Mayur Vihar Phase 2,mayur_vihar_phase_2.mp3,DELHI
Rohini Sector 24,rohini_sector_24.mp3,DELHI
Mahavir Enclave,mahavir_enclave.mp3,DELHI
Kashmiri Gate,kashmiri_gate.mp3,DELHI
Vasant Vihar,vasant_vihar.mp3,DELHI
Khureji,khureji.mp3,DELHI
Vasant Kunj,vasant_kunj.mp3,DELHI
Dakshinpuri,dakshinpuri.mp3,DELHI
Daryaganj,daryaganj.mp3,DELHI
Nangal Raya,nangal_raya.mp3,DELHI
Khajoori Khas,khajoori_khas.mp3,DELHI
Daya Basti,daya_basti.mp3,DELHI
Sundar Nagar,sundar_nagar.mp3,DELHI
Savitri Nagar,savitri_nagar.mp3,DELHI
Anand Parbat,anand_parbat.mp3,DELHI
Dwarka Sector 11,dwarka_sector_11.mp3,DELHI
Munirka,munirka.mp3,DELHI
Dwarka Sector 15,dwarka_sector_15.mp3,DELHI
Inderlok,inderlok.mp3,DELHI
Karawal Nagar,karawal_nagar.mp3,DELHI
Jharoda Majra Burari,jharoda_majra_burari.mp3,DELHI
Vasundhara Enclave,vasundhara_enclave.mp3,DELHI
Mukundpur,mukundpur.mp3,DELHI
New Friends Colony,new_friends_colony.mp3,DELHI
Rohini Sector 18,rohini_sector_18.mp3,DELHI
Sarai Kale Khan,sarai_kale_khan.mp3,DELHI
Badli,badli.mp3,DELHI
Rohini Sector 20,rohini_sector_20.mp3,DELHI
Dwarka Sector 12,dwarka_sector_12.mp3,DELHI
Prem Nagar,prem_nagar.mp3,DELHI
Jahangir Puri,jahangir_puri.mp3,DELHI
Neb Sarai,neb_sarai.mp3,DELHI
Nizamuddin,nizamuddin.mp3,DELHI
Khan Market,khan_market.mp3,DELHI
Golf Links,golf_links.mp3,DELHI
Pitampura,pitampura.mp3,DELHI
Kondli,kondli.mp3,DELHI
Gulmohar Park,gulmohar_park.mp3,DELHI
Vigyan Vihar,vigyan_vihar.mp3,DELHI
