task_name,input_file_name,city
PARK VIEW COLONY,park_view_colony.mp3,JALANDHAR
Park View Coloney,park_view_coloney.mp3,JALANDHAR
Officer Colony,officer_colony.mp3,JALANDHAR
Parkash Nagar,parkash_nagar.mp3,JALANDHAR
Parshu ram Nagar,parshu_ram_nagar.mp3,JALANDHAR
PARKASH VIHAR,parkash_vihar.mp3,JALANDHAR
Partap Bagh,partap_bagh.mp3,JALANDHAR
Parsuram Nagar,parsuram_nagar.mp3,JALANDHAR
Partap Road,partap_road.mp3,JALANDHAR
Partap Nagar,partap_nagar.mp3,JALANDHAR
Patel Nagar,patel_nagar.mp3,JALANDHAR
PATEL CHOWK,patel_chowk.mp3,JALANDHAR
Peace Avenue,peace_avenue.mp3,JALANDHAR
Peer Bodla Bazar,peer_bodla_bazar.mp3,JALANDHAR
Patwar Khana,patwar_khana.mp3,JALANDHAR
Peer Das Basti,peer_das_basti.mp3,JALANDHAR
Phagwara Gate,phagwara_gate.mp3,JALANDHAR
Pingalwara,pingalwara.mp3,JALANDHAR
Pink City Colony,pink_city_colony.mp3,JALANDHAR
Pir Bodhla Bazar,pir_bodhla_bazar.mp3,JALANDHAR
Piplan Gali,piplan_gali.mp3,JALANDHAR
Pishori Mohalla,pishori_mohalla.mp3,JALANDHAR
Police Line,police_line.mp3,JALANDHAR
Police Line Market,police_line_market.mp3,JALANDHAR
POLICE LINE ROAD,police_line_road.mp3,JALANDHAR
Preet Encleve,preet_encleve.mp3,JALANDHAR
Preet Nagar,preet_nagar.mp3,JALANDHAR
Poltary Form,poltary_form.mp3,JALANDHAR
PREET NAGAR ABADPURA,preet_nagar_abadpura.mp3,JALANDHAR
Prem Gali,prem_gali.mp3,JALANDHAR
Parkash Enclave,parkash_enclave.mp3,JALANDHAR
Prithvi Nagar,prithvi_nagar.mp3,JALANDHAR
Professor Colony,professor_colony.mp3,JALANDHAR
Prem Nagar,prem_nagar.mp3,JALANDHAR
PSEB Colony,pseb_colony.mp3,JALANDHAR
Punjab Avenue Extension,punjab_avenue_extension.mp3,JALANDHAR
PUCCA BAGH,pucca_bagh.mp3,JALANDHAR
Punjabi Bagh,punjabi_bagh.mp3,JALANDHAR
Punjabi Bagh Extension,punjabi_bagh_extension.mp3,JALANDHAR
Punjabi Bagh Wadala Chownk,punjabi_bagh_wadala_chownk.mp3,JALANDHAR
Purani Baradari,purani_baradari.mp3,JALANDHAR
Purani Kachehri,purani_kachehri.mp3,JALANDHAR
Palam Rajeet Appartments,palam_rajeet_appartments.mp3,JALANDHAR
Qazi Mohalla,qazi_mohalla.mp3,JALANDHAR
Qazi Mandi,qazi_mandi.mp3,JALANDHAR
Qilla Mohalla,qilla_mohalla.mp3,JALANDHAR
Quda Shah Chowk,quda_shah_chowk.mp3,JALANDHAR
Radio Colony,radio_colony.mp3,JALANDHAR
Quilla Mohalla,quilla_mohalla.mp3,JALANDHAR
Ragu Nath Mandir Mohalla,ragu_nath_mandir_mohalla.mp3,JALANDHAR
Rail Vihar,rail_vihar.mp3,JALANDHAR
Purian Mohalla,purian_mohalla.mp3,JALANDHAR
RAILWAY QUARTER(COOL ROAD),railway_quarter(cool_road).mp3,JALANDHAR
Railway Road,railway_road.mp3,JALANDHAR
Rainak Bazar,rainak_bazar.mp3,JALANDHAR
Raj Nagar,raj_nagar.mp3,JALANDHAR
Raja Garden,raja_garden.mp3,JALANDHAR
RAJA GARDAN,raja_gardan.mp3,JALANDHAR
Raja Garden Extension,raja_garden_extension.mp3,JALANDHAR
RAJA GARDEN MITHAPUR ROAD,raja_garden_mithapur_road.mp3,JALANDHAR
Railway Colony,railway_colony.mp3,JALANDHAR
RAJA GARDEN MITHAPUR CHOWK,raja_garden_mithapur_chowk.mp3,JALANDHAR
Rajinder Nagar,rajinder_nagar.mp3,JALANDHAR
Rajput Nagar,rajput_nagar.mp3,JALANDHAR
Ram Nagar,ram_nagar.mp3,JALANDHAR
Ram Bagh Colony,ram_bagh_colony.mp3,JALANDHAR
Ram Gali,ram_gali.mp3,JALANDHAR
Punjab Avenue,punjab_avenue.mp3,JALANDHAR
Ram Sharnam Colony,ram_sharnam_colony.mp3,JALANDHAR
Raman Shiv Mandir Mohalla,raman_shiv_mandir_mohalla.mp3,JALANDHAR
Ramamandi Main Bazar,ramamandi_main_bazar.mp3,JALANDHAR
Ram Vihar,ram_vihar.mp3,JALANDHAR
RAMA MANDIR WALI GALI GARHA,rama_mandir_wali_gali_garha.mp3,JALANDHAR
Ramco Colony,ramco_colony.mp3,JALANDHAR
Ramneek Avenue,ramneek_avenue.mp3,JALANDHAR
Ramesh Colony,ramesh_colony.mp3,JALANDHAR
Ram Gharhia School,ram_gharhia_school.mp3,JALANDHAR
Rameshwar Colony,rameshwar_colony.mp3,JALANDHAR
Randhawa Colony,randhawa_colony.mp3,JALANDHAR
RANJIT ENCLAVE,ranjit_enclave.mp3,JALANDHAR
Rajan Nagar,rajan_nagar.mp3,JALANDHAR
Ranjit Encleave,ranjit_encleave.mp3,JALANDHAR
Ranjit Nagar,ranjit_nagar.mp3,JALANDHAR
Rasila Nagar Phase  Danishmandan,rasila_nagar_phase__danishmandan.mp3,JALANDHAR
RAVI DASS CHOWK NAKODAR ROAD,ravi_dass_chowk_nakodar_road.mp3,JALANDHAR
Rasta Mohalla,rasta_mohalla.mp3,JALANDHAR
Rattan Nagar,rattan_nagar.mp3,JALANDHAR
Ratti Enclave,ratti_enclave.mp3,JALANDHAR
Ravidas Mandir,ravidas_mandir.mp3,JALANDHAR
Ravidass School Road,ravidass_school_road.mp3,JALANDHAR
Paragpur,paragpur.mp3,JALANDHAR
Ravidass Dham,ravidass_dham.mp3,JALANDHAR
Ravinder Nagar,ravinder_nagar.mp3,JALANDHAR
Ravinder Nagar Extension,ravinder_nagar_extension.mp3,JALANDHAR
Red ROSE Colony,red_rose_colony.mp3,JALANDHAR
Reru,reru.mp3,JALANDHAR
Redcross Market,redcross_market.mp3,JALANDHAR
Residence Vihar,residence_vihar.mp3,JALANDHAR
Riaz Pura,riaz_pura.mp3,JALANDHAR
Rishi Nagar,rishi_nagar.mp3,JALANDHAR
Rishi Nagar Road,rishi_nagar_road.mp3,JALANDHAR
Road Mohalla,road_mohalla.mp3,JALANDHAR
Rocky Colony,rocky_colony.mp3,JALANDHAR
Rasila Nagar Basti Danishmandan,rasila_nagar_basti_danishmandan.mp3,JALANDHAR
Ravidass Colony,ravidass_colony.mp3,JALANDHAR
RODH MOHALLA,rodh_mohalla.mp3,JALANDHAR
Rose Park,rose_park.mp3,JALANDHAR
Royal Enclave,royal_enclave.mp3,JALANDHAR
Rubi Hospital,rubi_hospital.mp3,JALANDHAR
S.U.S Nagar,s.u.s_nagar.mp3,JALANDHAR
Sabowal,sabowal.mp3,JALANDHAR
Sabowal Old.,sabowal_old..mp3,JALANDHAR
Sadhu Singh Colony,sadhu_singh_colony.mp3,JALANDHAR
Saheed Babu Labh Singh Nagar,saheed_babu_labh_singh_nagar.mp3,JALANDHAR
Sai Colony,sai_colony.mp3,JALANDHAR
